id,playtime_forever
0,2.3703333333333316
1,1.693233333333333
2,0.6958666666666663
3,1.2580999999999987
4,5.221166666666664
5,0.9302666666666657
6,1.3591666666666646
7,0.33140000000000036
8,2.1804333333333306
9,0.921966666666665
10,0.5173666666666669
11,0.982233333333334
12,2.475499999999998
13,1.7675333333333354
14,4.449699999999999
15,0.3806000000000007
16,1.102933333333332
17,0.47510000000000074
18,0.2663666666666667
19,1.3018666666666678
20,0.6416
21,1.6016666666666666
22,0.877800000000002
23,0.1072
24,0.6291333333333339
25,2.5877000000000003
26,0.17309999999999998
27,0.8488333333333348
28,0.7252666666666662
29,1.3210000000000024
30,0.15570000000000012
31,14.977699999999974
32,0.390933333333334
33,0.4632000000000001
34,2.8773333333333286
35,0.38636666666666664
36,0.9786666666666678
37,4.111333333333323
38,0.7391666666666677
39,0.29019999999999996
40,1.4431000000000025
41,0.978366666666668
42,4.687999999999992
43,0.20093333333333344
44,0.6299666666666661
45,1.8768666666666711
46,0.7460333333333339
47,1.4696000000000007
48,0.9675666666666667
49,4.963133333333347
50,0.9114333333333331
51,0.4573333333333332
52,0.5535333333333337
53,0.9162333333333335
54,0.9479666666666672
55,2.258633333333333
56,2.187466666666665
57,0.46729999999999927
58,0.7502000000000004
59,0.18623333333333325
60,0.6023666666666672
61,6.020766666666666
62,0.991000000000003
63,13.3685666666667
64,0.2306666666666668
65,0.564233333333333
66,0.45550000000000046
67,1.293499999999999
68,1.7036666666666676
69,0.35233333333333294
70,0.18206666666666654
71,1.4631333333333314
72,1.0421666666666665
73,21.665333333333283
74,2.194300000000001
75,10.848200000000023
76,3.4402333333333295
77,1.1839333333333353
78,1.0782666666666672
79,0.7574333333333336
80,0.5107666666666668
81,0.5415333333333339
82,0.7620999999999996
83,18.535999999999987
84,3.2267666666666615
85,0.9404000000000016
86,0.4692000000000001
87,5.305066666666673
88,0.7267999999999993
89,0.7648
